year,draw_no,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22
2020,5,2,4,8,10,13,15,19,24,27,29,34,40,44,45,46,48,51,53,62,75,76,80
2021,11,7,8,11,20,25,26,29,33,36,38,40,41,45,47,52,55,57,59,60,64,73,74
2021,12,5,7,8,12,15,18,20,21,22,25,28,31,42,45,49,55,58,65,68,72,77,78
2021,96,4,5,10,12,19,23,24,25,27,31,33,43,46,49,52,54,55,60,61,64,67,68
2022,22,1,8,12,15,22,27,30,37,40,41,43,45,50,51,53,59,61,62,69,70,74,79
2023,46,1,15,15,16,18,26,33,40,43,44,47,48,55,59,60,61,62,64,65,67,68,71
2024,102,4,6,7,10,11,12,17,20,21,25,26,28,30,36,40,52,55,55,56,64,68,72
2025,33,10,13,14,16,18,22,28,32,38,40,41,42,45,50,56,65,66,73,74,75,77,82
2025,63,2,6,14,17,18,21,33,34,38,40,40,44,48,51,52,54,58,60,61,68,72,72
2025,65,1,6,9,16,17,32,32,33,36,37,41,53,55,56,58,59,60,63,64,68,75,80
2025,87,1,2,4,15,15,21,24,26,32,36,42,43,44,45,48,51,53,54,62,73,75,80
