date,numbers,bonus
2025-01-01,"1 5 9 21 33 44",7
2025-01-08,"2 6 10 22 34 45",8
2025-01-15,"3 7 11 23 35 46",9
2025-01-22,"4 8 12 24 36 47",10
2025-01-29,"5 9 13 25 37 48",11
2025-02-05,"6 10 14 26 38 49",12
2025-02-12,"7 11 15 27 39 50",1
2025-02-19,"8 12 16 28 40 51",2
2025-02-26,"9 13 17 29 41 52",3
2025-03-05,"10 14 18 30 42 53",4
2025-03-12,"11 15 19 31 43 54",5
2025-03-19,"12 16 20 32 44 55",6
2025-03-26,"13 17 21 33 45 56",7
2025-04-02,"14 18 22 34 46 57",8
2025-04-09,"15 19 23 35 47 58",9
2025-04-16,"16 20 24 36 48 59",10
2025-04-23,"17 21 25 37 49 60",11
2025-04-30,"1 18 22 26 38 50",12
2025-05-07,"2 19 23 27 39 51",1
2025-05-14,"3 20 24 28 40 52",2
2025-05-21,"4 21 25 29 41 53",3
2025-05-28,"5 22 26 30 42 54",4
2025-06-04,"6 23 27 31 43 55",5
2025-06-11,"7 24 28 32 44 56",6
2025-06-18,"8 25 29 33 45 57",7
2025-06-25,"9 26 30 34 46 58",8
2025-07-02,"10 27 31 35 47 59",9
2025-07-09,"11 28 32 36 48 60",10
2025-07-16,"1 12 29 33 37 49",11
2025-07-23,"2 13 30 34 38 50",12

